# https://unicode.org/charts/PDF/U11680.pdf
# https://unicode.org/wg2/docs/n3758.pdf
#
# Independent vowels
𑚀	अ
𑚁	आ
𑚂	इ
𑚃	ई
𑚄	उ
𑚅	ऊ
𑚆	ए
𑚇	ऐ
𑚈	ओ
𑚉	औ
# Consonants
𑚊	क
𑚋	ष
𑚌	ग
𑚍	घ
𑚎	ङ
𑚏	च
𑚐	छ
𑚑	ज
𑚒	झ
𑚓	ञ
𑚔	ट
𑚕	ठ
𑚖	ड
𑚗	ढ
𑚘	ण
𑚙	त
𑚚	थ
𑚛	द
𑚜	ध
𑚝	न
𑚞	प
𑚟	फ
𑚠	ब
𑚡	भ
𑚢	म
𑚣	य
𑚤	र
𑚥	ल
𑚦	व
𑚧	श
𑚨	स
𑚩	ह
𑚪	ऱ
# Various signs
𑚫	ं
𑚬	ः
# Dependent vowel signs
𑚭	ा
𑚮	ि
𑚯	ी
𑚰	ु
𑚱	ू
𑚲	े
𑚳	ै
𑚴	ो
𑚵	ौ
# Virama
𑚶	्
# Nukta
𑚷	़
# Consonant
# https://unicode.org/wg2/docs/n4866-17279-takri-kha.pdf
𑚸	ख
# Punctuation
# https://unicode.org/L2/L2019/19264-takri-abbrev-sign.pdf
𑚹	॰
