# https://unicode.org/charts/PDF/U16A70.pdf
# https://unicode.org/L2/L2021/21027r-tangsa.pdf
#
# Vowels
𖩰	oz
𖩱	oc
𖩲	oq
𖩳	ox
𖩴	az
𖩵	ac
𖩶	aq
𖩷	ax
𖩸	vz
𖩹	vc
𖩺	vq
𖩻	vx
𖩼	ez
𖩽	ec
𖩾	eq
𖩿	ex
𖪀	iz
𖪁	ic
𖪂	iq
𖪃	ix
𖪄	uz
𖪅	uc
𖪆	uq
𖪇	ux
𖪈	awz
𖪉	awc
𖪊	awq
𖪋	awx
𖪌	uiz
𖪍	uic
𖪎	uiq
𖪏	uix
𖪐	ng
𖪑	uex
𖪒	uez
𖪓	awx
𖪔	uec
𖪕	uez
𖪖	ueq
𖪗	uex
𖪘	uiuz
𖪙	uiuc
𖪚	uiuq
𖪛	uiux
𖪜	mz
𖪝	mc
𖪞	mq
𖪟	mx
# Consonants
𖪠	k
𖪡	kh
𖪢	g
𖪣	ng
𖪤	s
𖪥	y
𖪦	w
𖪧	p
𖪨	ny
𖪩	ph
𖪪	b
𖪫	m
𖪬	n
𖪭	h
𖪮	l
𖪯	ht
𖪰	t
𖪱	d
𖪲	r
𖪳	nh
𖪴	sh
𖪵	c
𖪶	ts
𖪷	gh
𖪸	htt
𖪹	th
𖪺	x
𖪻	f
𖪼	dh
𖪽	ch
𖪾	z
