# https://unicode.org/charts/PDF/U0C00.pdf
#
# iso 15919
ఀ	m
ఁ	n
ం	m
ః	h
అ	a
ఆ	a
ఇ	i
ఈ	i
ఉ	u
ఊ	u
ఋ	r
ఌ	l
ఎ	e
ఏ	e
ఐ	ai
ఒ	o
ఓ	o
ఔ	au
క	k
ఖ	kh
గ	g
ఘ	gh
ఙ	n
చ	c
ఛ	ch
జ	j
ఝ	jh
ఞ	n
ట	t
ఠ	th
డ	d
ఢ	dh
ణ	n
త	t
థ	th
ద	d
ధ	dh
న	n
ప	p
ఫ	ph
బ	b
భ	bh
మ	m
య	y
ర	r
ఱ	r
ల	l
ళ	l
ఴ	l
వ	v
శ	s
ష	s
స	s
హ	h
ఽ	'
ా	a
ి	i
ీ	i
ు	u
ూ	u
ృ	r
ౄ	r
ె	e
ే	e
ై	ai
ొ	o
ో	o
ౌ	au
ౘ	c
ౙ	z
ౠ	r
ౡ	l
ౢ	l
ౣ	l
# Various signs
ఄ	m
# Sign
఼	'
# Virama
్	
# Various signs
ౕ	'
ౖ	i
# Historic phonetic variants
ౚ	r
# Consonant
# https://unicode.org/L2/L2020/20084r-telugu-nakaara-pollu.pdf
ౝ	n
# Sign
౷	*
# Telugu fractions and weights
౸	0
౹	꠰
౺	꠱
౻	꠲
౼	꠳
౽	꠴
౾	꠵
౿	t
