# https://www.unicode.org/charts/PDF/U0E00.pdf
# https://www.unicode.org/versions/Unicode13.0.0/ch16.pdf
# https://r12a.github.io/scripts/thai/block
#
# ungegn 2002 consonant characters (initial)
ก	k
ข	kh
ฃ	kh
ค	kh
ฅ	kh
ฆ	kh
ง	ng
จ	ch
ฉ	ch
ช	ch
ซ	s
ฌ	ch
ญ	y
ฎ	d
ฏ	t
ฐ	th
ฑ	th
ฒ	th
ณ	n
ด	d
ต	t
ถ	th
ท	th
ธ	th
น	n
บ	b
ป	p
ผ	ph
ฝ	f
พ	ph
ฟ	f
ภ	ph
ม	m
ย	y
ร	r
ล	l
ว	w
ศ	s
ษ	s
ส	s
ห	h
ฬ	l
อ	o
ฮ	h
# ungegn 2002 vocalic nuclei and special characters
ะ	a
ั	a
า	a
ำ	am
ิ	i
ี	i
ึ	ue
ื	ue
ุ	u
ู	u
เ	e
แ	ae
โ	o
ใ	ai
ไ	ai
ฤ	rue
ฦ	lue
ๅ	
# ungegn 2002 notes
็	
่	
้	
๊	
๋	
์	
# other
ฯ	.
ฺ	
ๆ	-
ํ	m
๎	
๏	*
๚	#
๛	@
