# https://unicode.org/wg2/docs/n2739.pdf
# https://unicode.org/L2/L2004/04195-pnm-17.1.100.pdf
# https://unicode.org/wg2/docs/n3482.pdf
# https://unicode.org/wg2/docs/n3870.pdf
# tamazight ala-lc 2012
# tamashek ala-lc 2013
# tamazight knab 2012
# tamasheq knab 2012
# https://en.wikipedia.org/wiki/Tifinagh
# https://en.wikipedia.org/wiki/Berber_Latin_alphabet
# https://en.wikipedia.org/wiki/Tuareg_languages
#
# ircam
ⴰ	a
ⴱ	b
ⴳ	g
ⴷ	d
ⴹ	d
ⴻ	e
ⴼ	f
ⴽ	k
ⵀ	h
ⵃ	h
ⵄ	'
ⵅ	x
ⵇ	q
ⵉ	i
ⵊ	j
ⵍ	l
ⵎ	m
ⵏ	n
ⵓ	u
ⵔ	r
ⵕ	r
ⵖ	gh
ⵙ	s
ⵚ	s
ⵛ	c
ⵜ	t
ⵟ	t
ⵡ	w
ⵢ	y
ⵣ	z
ⵥ	z
ⵯ	w
# ircam extended spirants
ⴲ	ⴱ
ⴴ	ⴳ
ⴸ	ⴷ
ⴺ	ⴹ
ⴿ	ⴽ
ⵝ	ⵜ
# ircam extended letters
ⵠ	v
ⵒ	p
# affricates
ⴶ	dj
ⵞ	tc
# berber academy
ⴵ	dj
ⵁ	h
# tuareg
ⴾ	k
ⵂ	h
ⵆ	x
ⵈ	q
ⵋ	j
ⵌ	j
ⵐ	gn
ⵑ	ng
ⵗ	gh
ⵘ	gh
ⵤ	z
# apt
ⵦ	e
ⵧ	o
# signs
⵰	 
⵿	
