# https://unicode.org/charts/PDF/U11380.pdf
# https://unicode.org/L2/L2022/22031-tulu-tigalari-prop.pdf
# Independent vowels
𑎀	a
𑎁	a
𑎂	i
𑎃	i
𑎄	u
𑎅	u
𑎆	r
𑎇	r
𑎈	l
𑎉	l
𑎋	e
𑎎	ai
𑎐	o
𑎑	au
# Consonants
𑎒	k
𑎓	kh
𑎔	g
𑎕	gh
𑎖	n
𑎗	c
𑎘	ch
𑎙	j
𑎚	jh
𑎛	n
𑎜	t
𑎝	th
𑎞	d
𑎟	dh
𑎠	n
𑎡	t
𑎢	th
𑎣	d
𑎤	dh
𑎥	n
𑎦	p
𑎧	ph
𑎨	b
𑎩	bh
𑎪	m
𑎫	y
𑎬	r
𑎭	l
𑎮	v
𑎯	s
𑎰	s
𑎱	s
𑎲	h
𑎳	l
𑎴	r
𑎵	l
# Avagraha
𑎷	'
# Vowel signs
𑎸	a
𑎹	i
𑎺	i
𑎻	u
𑎼	u
𑎽	r
𑎾	r
𑎿	l
𑏀	l
𑏂	e
𑏅	ai
𑏇	o
𑏈	au
# Various signs
𑏉	u
𑏊	m
𑏌	m
𑏍	h
𑏎	
𑏏	
𑏐	
𑏑	r
𑏒	
# Vowel length mark
𑏓	
# Punctuation
𑏔	।
𑏕	॥
𑏗	Om
𑏘	Sri
# Vedic tone marks
𑏡	
𑏢	
