# Unified Canadian Aboriginal Syllabics
# https://unicode.org/charts/PDF/U1400.pdf
## Punctuation
## https://unicode.org/wg2/docs/n3427.pdf
᐀	-
## Syllables
ᐜ	ai
ᐝ	w
ᐞ	'
ᐟ	t
ᐠ	k
ᐡ	sh
ᐢ	s
ᐣ	n
ᐤ	w
ᐥ	'
ᐦ	h
ᐧ	w
ᐨ	c
ᐩ	n
ᐪ	l
ᑉ	p
ᑊ	p
ᑋ	h
ᑦ	t
ᒃ	k
ᒄ	kw
ᒡ	c
ᒢ	c
ᒻ	m
ᒼ	m
ᒽ	mw
ᒾ	m
ᒿ	m
ᓐ	n
ᓑ	ng
ᓒ	nw
ᓪ	l
ᓫ	l
ᓬ	l
ᔅ	s
ᔆ	s
ᔇ	sw
ᔈ	s
ᔉ	sk
ᔊ	skw
ᔋ	sw
ᔥ	sh
ᔾ	y
ᔿ	y
ᕀ	y
ᕁ	yi
ᕐ	r
ᕑ	r
ᕒ	r
ᕝ	f
ᕪ	th
ᕯ	**
ᕼ	h
ᕽ	hk
ᖟ	th
ᖮ	th
ᖯ	b
## Syllables for Carrier
## https://unicode.org/L2/L2021/21141-ucas-revisions.pdf
ᗮ	p
ᘁ	k'
ᙆ	z
ᙇ	z
ᙚ	sh
## Symbol
᙭	X
## Punctuation
᙮	.
### https://unicode.org/wg2/docs/n3427.pdf
ᙾ	th
ᙿ	w
# Unified Canadian Aboriginal Syllabics Extended
# https://unicode.org/charts/PDF/U18B0.pdf
## Finals for Cree and Ojibway
## https://unicode.org/wg2/docs/n3427.pdf
ᣔ	p
ᣕ	t
ᣖ	k
ᣗ	c
ᣘ	m
ᣙ	n
ᣚ	s
ᣛ	sh
ᣜ	w
ᣝ	w
ᣞ	y
ᣟ	'
## Finals for Dene and Carrier
## https://unicode.org/wg2/docs/n3427.pdf
ᣳ	l
ᣴ	r
ᣵ	s
