# https://www.unicode.org/charts/PDF/U4DC0.pdf
# https://en.wikibooks.org/wiki/I_Ching/The_64_Hexagrams
䷀	Qian
䷁	Kun
䷂	Zhun
䷃	Meng
䷄	Xu
䷅	Song
䷆	Shi
䷇	Bi
䷈	XiaoChu
䷉	Lu
䷊	Tai
䷋	Pi
䷌	TongRen
䷍	DaYou
䷎	Qian
䷏	Yu
䷐	Sui
䷑	Gu
䷒	Lin
䷓	Guan
䷔	ShiKe
䷕	Bi
䷖	Bo
䷗	Fu
䷘	WuWang
䷙	DaChu
䷚	Yi
䷛	DaGuo
䷜	Kan
䷝	Li
䷞	Xian
䷟	Heng
䷠	Dun
䷡	DaZhuang
䷢	Jin
䷣	MingYi
䷤	JiaRen
䷥	Kui
䷦	Jian
䷧	Xie
䷨	Sun
䷩	Yi
䷪	Guai
䷫	Gou
䷬	Cui
䷭	Sheng
䷮	Kun
䷯	Jing
䷰	Ge
䷱	Ding
䷲	Zhen
䷳	Gen
䷴	Jian
䷵	GuiMei
䷶	Feng
䷷	Lu
䷸	Xun
䷹	Dui
䷺	Huan
䷻	Jie
䷼	ZhongFu
䷽	XiaoGuo
䷾	JiJi
䷿	WeiJi
