# https://unicode.org/charts/PDF/U11A00.pdf
# https://unicode.org/L2/L2015/15337-zanabazar-square.pdf
# tibetan ala-lc 2015
#
# Vowel letter
𑨀	
# Vowel signs
𑨁	i
𑨂	u
𑨃	u
𑨄	e
𑨅	o
𑨆	o
𑨇	ai
𑨈	au
𑨉	i
# Vowel length mark
𑨊	
# Consonants
𑨋	k
𑨌	kh
𑨍	g
𑨎	gh
𑨏	ng
𑨐	c
𑨑	ch
𑨒	j
𑨓	ny
𑨔	t
𑨕	th
𑨖	d
𑨗	dh
𑨘	n
𑨙	t
𑨚	th
𑨛	d
𑨜	dh
𑨝	n
𑨞	p
𑨟	ph
𑨠	b
𑨡	bh
𑨢	m
𑨣	ts
𑨤	tsh
𑨥	dz
𑨦	dzh
𑨧	zh
𑨨	z
𑨩	'
𑨪	y
𑨫	r
𑨬	l
𑨭	v
𑨮	sh
𑨯	s
𑨰	s
𑨱	h
𑨲	ks
# Final consonant mark
𑨳	
# Virama
𑨴	
# Candrabindu and candra ornaments
𑨵	m
𑨶	m
𑨷	m
# Signs for Sanskrit
𑨸	m
𑨹	h
# Cluster-initial consonant
𑨺	r
# Cluster-final consonants
𑨻	y
𑨼	r
𑨽	l
𑨾	v
# Head marks
𑨿	࿓
𑩀	࿔
# Punctuation
𑩁	་
𑩂	།
𑩃	༎
𑩄	༔
# Head marks
𑩅	༄
𑩆	༅
# Subjoiner
𑩇	
