LFW,Simple,Complex,Class,Rhyme,Tone,Subrhyme,Initial,Medial,Vowel,Cycle,Nasal/w,Prime,Grade,Variant,Notes
L0001,swy,1swy4,VI,31,1,30,s,w,y,,,,IV,,
L0002,lo,1lo1,IX,51,1,49,l,,o,,,,I,,
L0003,si,2si4,VI,11,2,10,s,,i,,,,IV,,
L0004,la,2la1,IX,17,2,14,l,,a,,,,I,,
L0005,gon,1gon4,V,58,1,56,g,,o,,n,,IV,,
L0006,khew,2khew4,V,46,2,40,kh,,e,,w,,IV,,
L0007,se,1se4,VI,37,1,36,s,,e,,,,IV,,
L0008,do,1do1,III,51,1,49,d,,o,,,,I,,
L0009,shwo,1shwo3,VII,50,1,48,sh,w,o,,,,III,,
L0010,zi,2zi4,IX,11,2,10,z,,i,,,,IV,,
L0011,lo,0lo1,IX,?,0,?,l,,o,,,,I,,
L0012,bu,1bu3,I,2,1,2,b,,u,,,,III,,
L0013,zar,2zar1,IX,85,2,73,z,,a,r,,,I,,
L0014,pho,1pho'1,I,54,1,52,ph,,o,,,',I,,
L0015,ghy,1ghyq4,VIII,72,1,69,gh,,y,q,,,IV,,
L0016,ten,2tenq4,III,65,2,55,t,,e,q,n,,IV,,
L0017,par,2par1,I,85,2,73,p,,a,r,,,I,L0486,
L0018,thwu,2thwu4,III,3,2,3,th,w,u,,,,IV,,
L0019,bir,2bir1,I,82,2,71,b,,i,r,,,I,,
L0020,cha,1cha3,VII,19,1,19,ch,,a,,,,III,,
L0021,bu,1bu3,I,2,1,2,b,,u,,,,III,,
L0022,by,1by1,I,28,1,27,b,,y,,,,I,,
L0023,ror,1ror4,IX,96,1,90,r,,o,r,,,IV,,
L0024,phe,2phe4,I,37,2,33,ph,,e,,,,IV,,
L0025,khi,1khi'2,V,13,1,13,kh,,i,,,',II,,
L0026,ngwu,2ngwu1,V,1,2,1,ng,w,u,,,,I,,
L0027,ngorn,2ngorn1,V,97,2,82,ng,,o,r,n,,I,,
L0028,lhu,1lhu'4,IX,7,1,7,lh,,u,,,',IV,,
L0029,rir,2rir1,IX,82,2,71,r,,i,r,,,I,,
L0030,sa,0sa1,VI,17,0,?,s,,a,,,,I,,
L0031,dzwy,1dzwy4,VI,31,1,30,dz,w,y,,,,IV,,
L0032,zhi,2zhi3,IX,10,2,9,zh,,i,,,,III,,
L0033,tshi,1tshiq4,VI,70,1,67,tsh,,i,q,,,IV,,
L0034,lon,2lon1,IX,56,2,47,l,,o,,n,,I,,
L0035,zar,2zar1,IX,85,2,73,z,,a,r,,,I,,
L0036,gu,2gu'1,V,5,2,5,g,,u,,,',I,,
L0037,gwan,1gwan4,V,27,1,26,g,w,a,,n,,IV,,
L0038,sho,2sho2,VII,52,2,43,sh,,o,,,,II,,
L0039,korn,2korn1,V,97,2,82,k,,o,r,n,,I,,
L0040,ve,2ve1,II,34,2,30,v,,e,,,,I,,
L0041,jon,2jon2,IV,57,2,48,j,,o,,n,,II,,
L0042,khi,1khi4,V,11,1,11,kh,,i,,,,IV,,
L0043,ngwu,2ngwu1,V,1,2,1,ng,w,u,,,,I,,
L0044,ngwu,2ngwu1,V,1,2,1,ng,w,u,,,,I,,
L0045,zar,1zar1,IX,85,1,80,z,,a,r,,,I,,
L0046,le,2le4,IX,37,2,33,l,,e,,,,IV,,Grade IV l-!
L0047,lwu,1lwuq3,IX,62,1,59,l,w,u,q,,,III,,
L0048,thwu,2thwu4,III,3,2,3,th,w,u,,,,IV,,
L0049,zi,2zi4,IX,11,2,10,z,,i,,,,IV,,
L0050,ni,1ni'4,III,14,1,14,n,,i,,,',IV,,
L0051,thar,1thar'1,III,88,1,83,th,,a,r,,',I,,
L0052,zhi,1zhi3,IX,10,1,10,zh,,i,,,,III,,
L0053,no,2noq4,III,75,2,64,n,,o,q,,,IV,,
L0054,tswa,1tswa1,VI,17,1,17,ts,w,a,,,,I,,
L0055,chew,2chew3,VII,46,2,40,ch,,e,,w,,III,,
L0056,rer,2rer4,IX,79,2,68,r,,e,r,,,IV,,
L0057,har,1har1,VIII,85,1,80,h,,a,r,,,I,L0232,
L0058,kir,1kir4,V,84,1,79,k,,i,r,,,IV,,
L0059,lher,2lher1,IX,77,2,66,lh,,e,r,,,I,,
L0060,don,1don1,III,56,1,54,d,,o,,n,,I,,
L0061,?,0???,?,?,0,?,?,,?,,,,?,,
L0062,ror,2ror4,IX,96,2,81,r,,o,r,,,IV,,
L0063,chhe,1chhe3,VII,36,1,35,chh,,e,,,,III,,
L0064,di,2diq4,III,70,2,60,d,,i,q,,,IV,L1147,
L0065,gwyr,2gwyr4,V,92,2,77,g,w,y,r,,,IV,,
L0066,ke,2ke2,V,35,2,31,k,,e,,,,II,,
L0067,le,2le4,IX,37,2,33,l,,e,,,,IV,,Grade IV l-!
L0068,shon,2shon2,VII,57,2,48,sh,,o,,n,,II,,
L0069,lo,2loq1,IX,73,2,62,l,,o,q,,,I,,
L0070,thwy,1thwy4,III,31,1,30,th,w,y,,,,IV,,
L0071,jwe,2jwe3,VII,36,2,32,j,w,e,,,,III,,
L0072,von,1von1,II,56,1,54,v,,o,,n,,I,,
L0073,chy,1chyq3,VII,72,1,69,ch,,y,q,,,III,,
L0074,khwy,1khwy1,V,28,1,27,kh,w,y,,,,I,,
L0075,shon,1shon'2,VII,59,1,57,sh,,o,,n,',II,,
L0076,thwo,1thwo1,III,51,1,49,th,w,o,,,,I,L0786,
L0077,de,2de'4,III,40,2,35,d,,e,,,',IV,,
L0078,ti,1tiq4,III,70,1,67,t,,i,q,,,IV,,
L0079,ve,1ve3,II,36,1,35,v,,e,,,,III,L0676,
L0080,pho,2pho2,I,52,2,43,ph,,o,,,,II,,
L0081,chi,2chi3,VII,10,2,9,ch,,i,,,,III,,
L0082,phy,1phy'1,I,32,1,31,ph,,y,,,',I,,
L0083,vi,1vi1,II,8,1,8,v,,i,,,,I,,
L0084,phy,1phy'1,I,32,1,31,ph,,y,,,',I,,
L0085,li,2li1,IX,8,2,7,l,,i,,,,I,,
L0086,shwon,1shwon3,VII,58,1,56,sh,w,o,,n,,III,,
L0087,tson,1tson1,VI,56,1,54,ts,,o,,n,,I,,
L0088,tew,1tew1,III,44,1,43,t,,e,,w,,I,,
L0089,chha,1chha'3,VII,21,1,21,chh,,a,,,',III,,
L0090,vor,1vor1,II,95,1,89,v,,o,r,,,I,,
L0091,thew,2thew1,III,44,2,38,th,,e,,w,,I,,
