Sort	Tangraph	Unicode	LFW2008	LFW1997	Simple	Complex	Class	Rhyme	Tone	Subrhyme	Initial	Medial	Vowel	Cycle	Nasal/w	Prime	Grade	Variant	Notes
1	𘞗	U+18797	L0001	L0001	swy	1swy4	VI	31	1	30	s	w	y				IV		
2	𘟇	U+187C7	L0002	L0002	lo	1lo1	IX	51	1	49	l		o				I		
3	𘞼	U+187BC	L0003	L0003	si	2si4	VI	11	2	10	s		i				IV		
4	𗴷	U+17D37	L0004	L0004	la	2la1	IX	17	2	14	l		a				I		
5	𗀇	U+17007	L0005	L0005	gon	1gon4	V	58	1	56	g		o		n		IV		
6	𗴼	U+17D3C	L0006	L0006	khew	2khew4	V	46	2	40	kh		e		w		IV		
7	𗵤	U+17D64	L0007	L0007	se	1se4	VI	37	1	36	s		e				IV		
8	𗀀	U+17000	L0008	L0008	do	1do1	III	51	1	49	d		o				I		
9	𗄈	U+17108	L0009	L0009	shwo	1shwo3	VII	50	1	48	sh	w	o				III		
10	𗄊	U+1710A	L0010	L0010	zi	2zi4	IX	11	2	10	z		i				IV		
11	𗴽	U+17D3D	L0011	L0011	lo	0lo1	IX	?	0	?	l		o				I		
12	𗵏	U+17D4F	L0012	L0012	bu	1bu3	I	2	1	2	b		u				III		
13	𗀅	U+17005	L0013	L0013	zar	2zar1	IX	85	2	73	z		a	r			I		
14	𗀫	U+1702B	L0014	L0014	pho	1pho'1	I	54	1	52	ph		o			'	I		
15	𗍥	U+17365	L0015	L0015	ghy	1ghyq4	VIII	72	1	69	gh		y	q			IV		
16	𗅈	U+17148	L0016	L0016	ten	2tenq4	III	65	2	55	t		e	q	n		IV		
17	𗀏	U+1700F	L0017	L0017	par	2par1	I	85	2	73	p		a	r			I	L0486	
18	𗀨	U+17028	L0018	L0018	thwu	2thwu4	III	3	2	3	th	w	u				IV		
19	𗄛	U+1711B	L0019	L0019	bir	2bir1	I	82	2	71	b		i	r			I		
20	𗵘	U+17D58	L0020	L0020	cha	1cha3	VII	19	1	19	ch		a				III		
21	𗵚	U+17D5A	L0021	L0021	bu	1bu3	I	2	1	2	b		u				III		
22	𗵕	U+17D55	L0022	L0022	by	1by1	I	28	1	27	b		y				I		
23	𗵲	U+17D72	L0023	L0023	ror	1ror4	IX	96	1	90	r		o	r			IV		
24	𘈋	U+1820B	L0024	L0024	phe	2phe4	I	37	2	33	ph		e				IV		
25	𗀍	U+1700D	L0025	L0025	khi	1khi'2	V	13	1	13	kh		i			'	II		
26	𗀄	U+17004	L0026	L0026	ngwu	2ngwu1	V	1	2	1	ng	w	u				I		
27	𗄑	U+17111	L0027	L0027	ngorn	2ngorn1	V	97	2	82	ng		o	r	n		I		
28	𗍦	U+17366	L0028	L0028	lhu	1lhu'4	IX	7	1	7	lh		u			'	IV		
29	𗵈	U+17D48	L0029	L0029	rir	2rir1	IX	82	2	71	r		i	r			I		
30	𗀁	U+17001	L0030	L0030	sa	0sa1	VI	17	0	?	s		a				I		
31	𘞝	U+1879D	L0031	L0031	dzwy	1dzwy4	VI	31	1	30	dz	w	y				IV		
32	𗃿	U+170FF	L0032	L0032	zhi	2zhi3	IX	10	2	9	zh		i				III		
33	𗵇	U+17D47	L0033	L0033	tshi	1tshiq4	VI	70	1	67	tsh		i	q			IV		
34	𗵓	U+17D53	L0034	L0034	lon	2lon1	IX	56	2	47	l		o		n		I		
35	𗀕	U+17015	L0035	L0035	zar	2zar1	IX	85	2	73	z		a	r			I		
36	𘓬	U+184EC	L0036	L0036	gu	2gu'1	V	5	2	5	g		u			'	I		
37	𗴰	U+17D30	L0037	L0037	gwan	1gwan4	V	27	1	26	g	w	a		n		IV	L5999	
38	𗀃	U+17003	L0038	L0038	sho	2sho2	VII	52	2	43	sh		o				II		
39	𘟗	U+187D7	L0039	L0039	korn	2korn1	V	97	2	82	k		o	r	n		I		
40	𗴾	U+17D3E	L0040	L0040	ve	2ve1	II	34	2	30	v		e				I		
41	𗵋	U+17D4B	L0041	L0041	jon	2jon2	IV	57	2	48	j		o		n		II		
42	𗀛	U+1701B	L0042	L0042	khi	1khi4	V	11	1	11	kh		i				IV		
43	𗀜	U+1701C	L0043	L0043	ngwu	2ngwu1	V	1	2	1	ng	w	u				I		
44	𗀤	U+17024	L0044	L0044	ngwu	2ngwu1	V	1	2	1	ng	w	u				I		
45	𘟋	U+187CB	L0045	L0045	zar	1zar1	IX	85	1	80	z		a	r			I		
46	𘟀	U+187C0	L0046	L0046	le	2le4	IX	37	2	33	l		e				IV		Grade IV l-!
