,e,i,ii,o,oo,a,aa,we,wi,wii,wo,woo,wa,waa,we,wi,wii,wo,woo,wa,waa,iy,oy,ay,aay,woy,way,oo,wo,wa,s-wa
,ᐁ,ᐃ,ᐄ,ᐅ,ᐆ,ᐊ,ᐋ,ᐌ,ᐎ,ᐐ,ᐒ,ᐔ,ᐗ,ᐙ,ᐍ,ᐏ,ᐑ,ᐓ,ᐕ,ᐘ,ᐚ,ᐂ,ᢰ,ᢱ,ᢲ,,ᢳ,ᐇ,ᐖ,ᐛ,
,ᐫ,ᐬ,,ᐭ,,ᐮ,,,,,,,,,,,,,,,,,,,,,,,,,
p,ᐯ,ᐱ,ᐲ,ᐳ,ᐴ,ᐸ,ᐹ,ᐺ,ᐼ,ᐾ,ᑀ,ᑂ,ᑄ,ᑆ,ᐻ,ᐽ,ᐿ,ᑁ,ᑃ,ᑅ,ᑇ,ᐰ,ᢴ,ᢵ,,ᢶ,,ᐵ,,ᑈ,ᔌ
t,ᑌ,ᑎ,ᑏ,ᑐ,ᑑ,ᑕ,ᑖ,ᑗ,ᑙ,ᑛ,ᑝ,ᑟ,ᑡ,ᑣ,ᑘ,ᑚ,ᑜ,ᑞ,ᑠ,ᑢ,ᑤ,ᑍ,,ᢷ,,,,ᑒ,,ᑥ,ᔍ
t',ᑧ,ᑨ,,ᑩ,,ᑪ,,,,,,,,,,,,,,,,,,,,,,,,,
k,ᑫ,ᑭ,ᑮ,ᑯ,ᑰ,ᑲ,ᑳ,ᑴ,ᑶ,ᑸ,ᑺ,ᑼ,ᑾ,ᒀ,ᑵ,ᑷ,ᑹ,ᑻ,ᑽ,ᑿ,ᒁ,ᑬ,,ᢸ,,,ᢹ,ᑱ,,ᒂ,ᔎ
k',ᒅ,ᒆ,,ᒇ,,ᒈ,,,,,,,,,,,,,,,,,,,,,,,,,
c,ᒉ,ᒋ,ᒌ,ᒍ,ᒎ,ᒐ,ᒑ,ᒒ,ᒔ,ᒖ,ᒘ,ᒚ,ᒜ,ᒞ,ᒓ,ᒕ,ᒗ,ᒙ,ᒛ,ᒝ,ᒟ,ᒊ,,,,,,ᒏ,,ᒠ,ᔏ
m,ᒣ,ᒥ,ᒦ,ᒧ,ᒨ,ᒪ,ᒫ,ᒬ,ᒮ,ᒰ,ᒲ,ᒴ,ᒶ,ᒸ,ᒭ,ᒯ,ᒱ,ᒳ,ᒵ,ᒷ,ᒹ,ᒤ,,ᢺ,,,,ᒩ,,ᒺ,
l,ᓓ,ᓕ,ᓖ,ᓗ,ᓘ,ᓚ,ᓛ,ᓜ,ᓞ,ᓠ,ᓢ,ᓤ,ᓦ,ᓨ,ᓝ,ᓟ,ᓡ,ᓣ,ᓥ,ᓧ,ᓩ,ᓔ,,ᢽ,,,,ᓙ,,,
s,ᓭ,ᓯ,ᓰ,ᓱ,ᓲ,ᓴ,ᓵ,ᓶ,ᓸ,ᓺ,ᓼ,ᓾ,ᔀ,ᔂ,ᓷ,ᓹ,ᓻ,ᓽ,ᓿ,ᔁ,ᔃ,ᓮ,ᢾ,ᢿ,,,,ᓳ,,ᔄ,
sh,ᔐ,ᔑ,ᔒ,ᔓ,ᔔ,ᔕ,ᔖ,ᔗ,ᔙ,ᔛ,ᔝ,ᔟ,ᔡ,ᔣ,ᔘ,ᔚ,ᔜ,ᔞ,ᔠ,ᔢ,ᔤ,,ᣀ,ᣁ,,ᣂ,,,,,
y,ᔦ,ᔨ,ᔩ,ᔪ,ᔫ,ᔭ,ᔮ,ᔯ,ᔱ,ᔳ,ᔵ,ᔷ,ᔹ,ᔻ,ᔰ,ᔲ,ᔴ,ᔶ,ᔸ,ᔺ,ᔼ,ᔧ,ᣃ,ᣄ,,,,ᔬ,,ᔽ,
n,ᓀ,ᓂ,ᓃ,ᓄ,ᓅ,ᓇ,ᓈ,ᓉ,ᣆ,ᣈ,ᣊ,ᣌ,ᓋ,ᓍ,ᓊ,ᣇ,ᣉ,ᣋ,ᣍ,ᓌ,ᓎ,ᓁ,ᢻ,ᢼ,,,,ᓆ,,ᓏ,
r,ᕃ,ᕆ,ᕇ,ᕈ,ᕉ,ᕋ,ᕌ,ᣎ,ᣏ,ᣐ,ᣑ,ᣒ,ᣓ,ᕎ,ᣠ,,,,,,ᕏ,ᕅ,,ᣅ,,,,,,,
r,ᕂ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l,,ᕄ,,ᕊ,ᣡ,ᕍ,ᣢ,,,,,,,,,,,,,,,,,,,,,,,,
f,ᕓ,ᕕ,ᕖ,ᕗ,ᕘ,ᕙ,ᕚ,,,,,,,ᕛ,,,,,,,ᕜ,ᕔ,,,,,,,,,
th,ᕞ,ᕠ,ᕢ,ᕤ,ᕥ,ᕦ,ᕧ,,,,,,,ᕨ,ᣣ,,,,,ᣤ,ᕩ,,,,,,,,,,
th,ᕟ,ᕡ,ᕣ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tth,ᕫ,ᕬ,,ᕭ,ᣦ,ᕮ,ᣧ,,,,,,,,ᣥ,,,,,,,,,,,,,,,,
t,ᕰ,ᕱ,,ᕲ,,ᕳ,,,,,,,,,,,,,,,,,,,,,,,,,
tl,ᖆ,ᖇ,,ᖈ,ᣩ,ᖉ,,,,,,,,,ᣨ,,,,,,,,,,,,,,,,
r,ᖊ,ᖋ,,ᖌ,,ᖍ,,,,,,,,,,,,,,,,,,,,,,,,,
sh,ᖗ,ᖘ,,ᖙ,ᣫ,ᖚ,,,,,,,,,ᣪ,,,,,,,,,,,,,,,,
th,ᖛ,ᖜ,,ᖝ,,ᖞ,,,,,,,,,,,,,,,,,,,,,,,,,
th,ᖧ,ᖨ,ᖩ,ᖪ,ᖫ,ᖬ,ᖭ,ᙷ,,,,,,,,ᙸ,ᙹ,ᙺ,ᙻ,ᙼ,ᙽ,,,,,,,,,,
g,ᗀ,ᗁ,,ᗂ,ᣬ,ᗃ,,,,,,,,,,,,,,,,,,,,,,,,,
g,,,,,ᣮ,,ᣯ,,,,,,,,,,,ᣭ,,ᣰ,,,,,,,,,,,
j,,ᘚ,,ᘕ,ᣱ,,,,,,,,,,ᣲ,,,,,,,,,,,,,,,,
sp,𑪼,𑪽,,𑪾,,𑪿,,,,,,,,,,,,,,,,,,,,,,,,,
