# ala-lc 2011
,e,i,a,o,u,o,e
,ꔀ,ꔤ,ꕉ,ꕱ,ꖕ,ꖺ,ꗡ
,ꔁ,ꔥ,ꕊ,ꕲ,ꖖ,ꖻ,ꗢ
ng,,,ꕋ,,,ꖼ,ꗣ
h,ꔂ,ꔦ,ꕌ,ꕳ,ꖗ,ꖽ,ꗤ
h,,ꔧ,ꕍ,,ꖘ,ꖾ,ꗥ
w,ꔃ,ꔨ,ꕎ,ꕴ,ꖙ,ꖿ,ꗦ
w,ꔄ,ꔩ,ꕏ,ꕵ,ꖚ,ꗀ,ꗧ
p,ꔅ,ꔪ,ꕐ,ꕶ,ꖛ,ꗁ,ꗨ
b,ꔆ,ꔫ,ꕑ,ꕷ,ꖜ,ꗂ,ꗩ
b,ꔇ,ꔬ,ꕒ,ꕸ,ꖝ,ꗃ,ꗪ
mb,ꔈ,ꔭ,ꕓ,ꕹ,ꖞ,ꗄ,ꗫ
kp,ꔉ,ꔮ,ꕔ,ꕺ,ꖟ,ꗅ,ꗬ
kp,,,ꕕ,,,,ꗭ
mgb,ꔊ,ꔯ,ꕖ,ꕻ,ꖠ,ꗆ,ꗮ
gb,ꔋ,ꔰ,ꕗ,ꕼ,ꖡ,ꗇ,ꗯ
gb,,,,,,ꗈ,ꗰ
f,ꔌ,ꔱ,ꕘ,ꕽ,ꖢ,ꗉ,ꗱ
v,ꔍ,ꔲ,ꕙ,ꕾ,ꖣ,ꗊ,ꗲ
t,ꔎ,ꔳ,ꕚ,ꕿ,ꖤ,ꗋ,ꗳ
th,ꔏ,ꔴ,ꕛ,ꖀ,ꖥ,ꗌ,ꗴ
d,ꔐ,ꔵ,ꕜ,ꖁ,ꖦ,ꗍ,ꗵ
dh,ꔑ,ꔶ,ꕝ,ꖂ,ꖧ,ꗎ,ꗶ
l,ꔒ,ꔷ,ꕞ,ꖃ,ꖨ,ꗏ,ꗷ
r,ꔓ,ꔸ,ꕟ,ꖄ,ꖩ,ꗐ,ꗸ
d,ꔔ,ꔹ,ꕠ,ꖅ,ꖪ,ꗑ,ꗹ
nd,ꔕ,ꔺ,ꕡ,ꖆ,ꖫ,ꗒ,ꗺ
s,ꔖ,ꔻ,ꕢ,ꖇ,ꖬ,ꗓ,ꗻ
sh,ꔗ,ꔼ,ꕣ,ꖈ,ꖭ,ꗔ,ꗼ
z,ꔘ,ꔽ,ꕤ,ꖉ,ꖮ,ꗕ,ꗽ
zh,ꔙ,ꔾ,ꕥ,ꖊ,ꖯ,ꗖ,ꗾ
ch,ꔚ,ꔿ,ꕦ,ꖋ,ꖰ,ꗗ,ꗿ
j,ꔛ,ꕀ,ꕧ,ꖌ,ꖱ,ꗘ,ꘀ
nj,ꔜ,ꕁ,ꕨ,ꖍ,ꖲ,ꗙ,ꘁ
y,ꔝ,ꕂ,ꕩ,ꖎ,ꖳ,ꗚ,ꘂ
k,ꔞ,ꕃ,ꕪ,ꖏ,ꖴ,ꗛ,ꘃ
k,,,ꕫ,,,,
ngg,ꔟ,ꕄ,ꕬ,ꖐ,ꖵ,ꗜ,ꘄ
ngg,,,,,,,ꘅ
g,ꔠ,ꕅ,ꕭ,ꖑ,ꖶ,ꗝ,ꘆ
g,,,,,,,ꘇ
m,ꔡ,ꕆ,ꕮ,ꖒ,ꖷ,ꗞ,ꘈ
n,ꔢ,ꕇ,ꕯ,ꖓ,ꖸ,ꗟ,ꘉ
ny,ꔣ,ꕈ,ꕰ,ꖔ,ꖹ,ꗠ,ꘊ
